production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
3.0,1.0,wc_1,,0.0,,,57.0,,,,,Pass,,,,,
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
3.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.5)]",0.5,,,27.0,0.002758,['Pass'],Pass,0.5,-0.16666666666666669,1.0,3.0,0.5
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
3.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.2), ('wc_1', 0.5)]",0.6,,,26.0,0.004072,['Pass'],Pass,0.2,-0.08000000000000002,0.0,0.0,0.2
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
3.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.2), ('wc_1', 0.5), ('wc_2', 0.2)]",0.6799999999999999,,,32.0,0.007527999999999999,['Pass'],Pass,0.2,0.0,0.0,0.0,0.2
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
3.0,1.0,wc_1,wc_4,0.0,"[('wc_4', 0.4), ('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2)]",0.808,,,26.0,0.008199999999999999,['Pass'],Pass,0.4,-0.16000000000000003,0.0,0.0,0.4
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
3.0,1.0,wc_1,wc_5,0.0,"[('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2), ('wc_4', 0.4)]",0.8079999999999999,,,35.0,0.017395,['Pass'],Pass,0.4,-0.16000000000000003,0.0,0.0,0.4
3.0,1.0,wc_1,,0.0,,,,61.0,,,,Pass,,,,,
3.0,1.0,wc_1,wc_6,0.0,"[('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2), ('wc_4', 0.4)]",0.8079999999999999,,,38.0,0.016243,['Pass'],Pass,0.1,0.4,1.0,2.0,0.1
3.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
3.0,1.0,wc_1,wc_7,1.0,"[('wc_7', 0.5), ('wc_1', 0.5), ('wc_2', 0.2), ('wc_3', 0.2), ('wc_4', 0.4)]",0.904,,,29.0,0.06251399999999999,['Pass'],Pass,0.5,0.5,1.0,1.0,0.5
