production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality
6.0,1.0,wc_1,,0.0,,,50.0,,,,,Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 1)]",1.0,,,26.0,0.002277,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 1), ('wc_1', 1)]",2.0,,,25.0,0.004169,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_3,0.0,"[('wc_1', 1), ('wc_2', 1)]",2.0,,,25.0,0.00568,['Fail'],Pass
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass
6.0,1.0,wc_1,wc_4,1.0,"[('wc_4', 1), ('wc_1', 1), ('wc_2', 1)]",3.0,,,40.0,0.035696,['Fail'],Pass
11.0,2.0,wc_2,,0.0,,,,81.0,,,,Pass
11.0,2.0,wc_2,,0.0,,,78.0,,,,,Pass
11.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
11.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 1)]",1.0,,,25.0,0.002162,['Fail'],Pass
11.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
11.0,2.0,wc_2,wc_3,0.0,"[('wc_2', 1)]",1.0,,,27.0,0.003901,['Fail'],Pass
11.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
11.0,2.0,wc_2,wc_4,0.0,"[('wc_4', 1), ('wc_3', 1)]",2.0,,,25.0,0.006769,['Pass'],Pass
11.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass
11.0,2.0,wc_2,wc_5,1.0,"[('wc_5', 1), ('wc_3', 1), ('wc_4', 1)]",3.0,,,36.0,0.040622000000000005,['Pass'],Pass
14.0,3.0,wc_3,,0.0,,,,83.0,,,,Fail
14.0,3.0,wc_3,,0.0,,,60.0,,,,,Fail
14.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail
14.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 1)]",1.0,,,22.0,0.002024,['Fail'],Fail
14.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail
14.0,3.0,wc_3,wc_4,0.0,"[('wc_3', 1)]",1.0,,,36.0,0.0043630000000000006,['Fail'],Fail
