time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
1.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
2.0,wp_1,1.0,wc_1,"{'Pass': 5, 'Fail': 95}",['Fail'],,,,,,67.0,,,,,,,,
70.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
70.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
71.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.81)]",0.81,['Fail'],,,22.0,0.002628,0.0,0.0,-0.81,0.81,1.0
94.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
95.0,wp_1,1.0,,,,wc_2,0.0,"[('wc_2', 0.44), ('wc_1', 0.81)]",0.8936000000000001,['Fail'],,,36.0,0.005594,0.0,0.0,-0.44,0.44,0.3
132.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
133.0,wp_1,1.0,,,,wc_3,1.0,"[('wc_3', 0.84), ('wc_1', 0.81), ('wc_2', 0.44)]",0.982976,['Fail'],,,26.0,0.035468999999999994,1.0,1.0,0.16000000000000003,0.84,0.9
93.0,wp_2,1.0,wc_1,"{'Pass': 96, 'Fail': 4}",['Pass'],,,,,,72.0,,,,,,,,
166.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
166.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
167.0,wp_2,1.0,,,,wc_1,0.0,"[('wc_1', 0.81)]",0.81,['Pass'],,,24.0,0.002244,1.0,1.0,0.18999999999999995,0.81,1.0
192.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
193.0,wp_2,1.0,,,,wc_2,0.0,"[('wc_2', 0.44), ('wc_1', 0.81)]",0.8936000000000001,['Pass'],,,38.0,0.007987000000000001,1.0,1.0,0.56,0.44,0.3
232.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
233.0,wp_2,1.0,,,,wc_3,1.0,"[('wc_3', 0.84), ('wc_1', 0.81), ('wc_2', 0.44)]",0.982976,['Pass'],,,30.0,0.036349000000000006,2.0,2.0,0.16000000000000003,0.84,0.9
265.0,wp_2,4.0,,,,,,,,,,0.0,,,,,,,
191.0,wp_3,1.0,wc_1,"{'Pass': 55, 'Fail': 45}",['Pass'],,,,,,80.0,,,,,,,,
272.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
272.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
273.0,wp_3,1.0,,,,wc_1,0.0,"[('wc_1', 0.81)]",0.81,['Pass'],,,36.0,0.002258,2.0,2.0,0.18999999999999995,0.81,1.0
310.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
266.0,wp_2,4.0,wc_4,"{'Pass': 99, 'Fail': 1}",['Pass'],,,,,,57.0,,,,,,,,
324.0,wp_2,4.0,,,,,,,,,,0.0,,,,,,,
325.0,wp_2,4.0,,,,wc_4,0.0,"[('wc_4', 0.49)]",0.49,['Pass'],,,22.0,0.002222,0.0,2.0,-0.49,0.49,0.3
311.0,wp_3,1.0,,,,wc_2,0.0,"[('wc_2', 0.44), ('wc_1', 0.81)]",0.8936000000000001,['Pass'],,,36.0,0.004454,2.0,2.0,0.56,0.44,0.3
348.0,wp_2,4.0,,,,,,,,,,0.0,,,,,,,
348.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
349.0,wp_2,4.0,,,,wc_5,0.0,"[('wc_5', 0.78), ('wc_4', 0.49)]",0.8878,['Pass'],,,27.0,0.008142,0.0,2.0,-0.78,0.78,0.7
377.0,wp_2,4.0,,,,,,,,,,41.0,,,,,,,
349.0,wp_3,1.0,,,,wc_3,1.0,"[('wc_3', 0.84), ('wc_1', 0.81), ('wc_2', 0.44)]",0.982976,['Pass'],,,37.0,0.045193000000000004,3.0,3.0,0.16000000000000003,0.84,0.9
388.0,wp_3,2.0,,,,,,,,,,101.0,,,,,,,
418.0,wp_2,4.0,,,,wc_1,1.0,"[('wc_1', 0.81), ('wc_4', 0.49), ('wc_5', 0.78)]",0.978682,['Pass'],,,40.0,0.037353,4.0,4.0,0.18999999999999995,0.81,1.0
378.0,wp_4,1.0,wc_1,"{'Pass': 46, 'Fail': 54}",['Fail'],,,,,,80.0,,,,,,,,
459.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
459.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
460.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
460.0,wp_4,1.0,,,,wc_1,0.0,"[('wc_1', 0.81)]",0.81,['Fail'],,,28.0,0.002331,4.0,4.0,0.18999999999999995,0.81,1.0
489.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
461.0,wp_2,3.0,wc_3,"{'Pass': 56, 'Fail': 44}",['Pass'],,,,,,76.0,,,,,,,,
538.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
488.0,wp_5,1.0,wc_1,"{'Pass': 72, 'Fail': 28}",['Pass'],,,,,,64.0,,,,,,,,
553.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
554.0,wp_1,1.0,,,,,,,,,,81.0,,,,,,,
