time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
1.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
2.0,wp_1,1.0,wc_1,"{'Pass': 57, 'Fail': 43}",['Pass'],,,,,,78.0,,,,,,,,
81.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
81.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
82.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.84)]",0.84,['Pass'],,,35.0,0.002131,0.0,0.0,-0.84,0.84,1.0
118.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
119.0,wp_1,1.0,,,,wc_2,0.0,"[('wc_2', 0.66), ('wc_1', 0.84)]",0.9456,['Pass'],,,39.0,0.004079,0.0,0.0,-0.66,0.66,0.5
159.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
117.0,wp_2,1.0,wc_1,"{'Pass': 51, 'Fail': 49}",['Pass'],,,,,,77.0,,,,,,,,
195.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
195.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
160.0,wp_1,1.0,,,,wc_3,1.0,"[('wc_3', 0.84), ('wc_1', 0.84), ('wc_2', 0.66)]",0.991296,['Pass'],,,37.0,0.035684,1.0,1.0,0.16000000000000003,0.84,1.0
199.0,wp_1,2.0,,,,,,,,,,101.0,,,,,,,
196.0,wp_2,1.0,,,,wc_1,0.0,"[('wc_1', 0.84)]",0.84,['Pass'],,,29.0,0.004091,1.0,1.0,0.16000000000000003,0.84,1.0
226.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
227.0,wp_2,1.0,,,,wc_2,0.0,"[('wc_2', 0.66), ('wc_1', 0.84)]",0.9456,['Pass'],,,32.0,0.004651,1.0,1.0,0.33999999999999997,0.66,0.5
260.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
261.0,wp_2,1.0,,,,wc_3,1.0,"[('wc_3', 0.84), ('wc_1', 0.84), ('wc_2', 0.66)]",0.991296,['Pass'],,,25.0,0.034119,2.0,2.0,0.16000000000000003,0.84,1.0
225.0,wp_3,1.0,wc_1,"{'Pass': 62, 'Fail': 38}",['Pass'],,,,,,61.0,,,,,,,,
287.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
287.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
288.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
288.0,wp_3,1.0,,,,wc_1,0.0,"[('wc_1', 0.84)]",0.84,['Pass'],,,38.0,0.002194,2.0,2.0,0.16000000000000003,0.84,1.0
327.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
289.0,wp_2,3.0,wc_3,"{'Pass': 58, 'Fail': 42}",['Pass'],,,,,,70.0,,,,,,,,
360.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
326.0,wp_4,1.0,wc_1,"{'Pass': 86, 'Fail': 14}",['Pass'],,,,,,53.0,,,,,,,,
380.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
380.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
357.0,wp_3,1.0,,,,wc_2,0.0,"[('wc_1', 0.84)]",0.84,['Pass'],,,26.0,0.01031,2.0,2.0,0.33999999999999997,0.66,0.5
327.0,wp_1,2.0,wc_2,"{'Pass': 62, 'Fail': 38}",['Pass'],,,,,,57.0,,,,,,,,
384.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
385.0,wp_1,2.0,,,,,,,,,,0.0,,,,,,,
361.0,wp_2,3.0,,,,wc_3,0.0,"[('wc_3', 0.84)]",0.84,['Pass'],,,27.0,0.003876,2.0,2.0,0.16000000000000003,0.84,1.0
389.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
381.0,wp_4,1.0,,,,wc_1,0.0,"[('wc_1', 0.84)]",0.84,['Pass'],,,23.0,0.0077610000000000005,2.0,2.0,0.16000000000000003,0.84,1.0
405.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
386.0,wp_1,2.0,,,,wc_2,0.0,"[('wc_2', 0.66)]",0.66,['Pass'],,,28.0,0.009857,2.0,2.0,0.33999999999999997,0.66,0.5
415.0,wp_1,2.0,,,,,,,,,,102.0,,,,,,,
385.0,wp_3,1.0,,,,wc_4,0.0,"[('wc_4', 0.53), ('wc_2', 0.66)]",0.8402000000000001,['Fail'],,,32.0,0.007188,0.0,2.0,-0.53,0.53,0.5
418.0,wp_3,1.0,,,,,,,,,,81.0,,,,,,,
