production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
6.0,1.0,wc_1,,0.0,,,55.0,,,,,Pass,,,,,
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.6800000000000005)]",0.6800000000000005,,,21.0,0.002017,['Fail'],Pass,0.6800000000000005,-0.5550000000000005,0.0,0.0,0.4
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.8700000000000007)]",0.8700000000000007,,,31.0,0.004992,['Pass'],Pass,0.8700000000000007,-0.6616666666666673,0.0,0.0,0.9
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_3,0.0,"[('wc_3', 0.8600000000000007), ('wc_2', 0.8700000000000007)]",0.9818000000000002,,,26.0,0.006672000000000001,['Pass'],Pass,0.8600000000000007,-0.693333333333334,0.0,0.0,0.7
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_4,0.0,"[('wc_2', 0.8700000000000007), ('wc_3', 0.8600000000000007)]",0.9818000000000002,,,31.0,0.008064,['Pass'],Pass,0.8500000000000006,-0.6760869565217398,0.0,0.0,0.8
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_5,1.0,"[('wc_5', 0.6900000000000005), ('wc_1', 0.6800000000000005), ('wc_4', 0.8500000000000006)]",0.9851200000000001,,,34.0,0.04835499999999999,['Fail'],Pass,0.6900000000000005,-0.5160869565217396,0.0,0.0,0.7
10.0,3.0,wc_3,,0.0,,,,83.0,,,,Pass,,,,,
10.0,3.0,wc_3,,0.0,,,65.0,,,,,Pass,,,,,
10.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
10.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.8600000000000007)]",0.8600000000000007,,,38.0,0.003982,['Pass'],Pass,0.8600000000000007,-0.8600000000000007,0.0,1.0,0.7
10.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
10.0,3.0,wc_3,wc_4,0.0,"[('wc_4', 0.8500000000000006), ('wc_3', 0.8600000000000007)]",0.9790000000000002,,,32.0,0.004705,['Pass'],Pass,0.8500000000000006,0.14999999999999936,1.0,1.0,0.8
10.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
10.0,3.0,wc_3,wc_5,1.0,"[('wc_5', 0.6900000000000005), ('wc_3', 0.8600000000000007), ('wc_4', 0.8500000000000006)]",0.9934900000000001,,,27.0,0.039324,['Pass'],Pass,0.6900000000000005,0.3099999999999995,1.0,1.0,0.7
17.0,4.0,wc_4,,0.0,,,,103.0,,,,Fail,,,,,
17.0,4.0,wc_4,,0.0,,,76.0,,,,,Fail,,,,,
17.0,4.0,wc_4,,0.0,,,,0.0,,,,Fail,,,,,
17.0,4.0,wc_4,wc_4,0.0,"[('wc_4', 0.8500000000000006)]",0.8500000000000006,,,34.0,0.002602,['Fail'],Fail,0.8500000000000006,0.14999999999999936,2.0,2.0,0.8
17.0,4.0,wc_4,,0.0,,,,0.0,,,,Fail,,,,,
17.0,4.0,wc_4,wc_5,0.0,"[('wc_5', 0.6900000000000005), ('wc_4', 0.8500000000000006)]",0.9535000000000002,,,23.0,0.003959000000000001,['Fail'],Fail,0.6900000000000005,0.3099999999999995,1.0,1.0,0.7
17.0,4.0,wc_4,,0.0,,,,41.0,,,,Fail,,,,,
17.0,4.0,wc_4,wc_1,1.0,"[('wc_1', 0.6800000000000005), ('wc_4', 0.8500000000000006), ('wc_5', 0.6900000000000005)]",0.9851200000000001,,,36.0,0.03891,['Fail'],Fail,0.6800000000000005,-0.013333333333333863,2.0,3.0,0.4
21.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
21.0,2.0,wc_2,,0.0,,,58.0,,,,,Pass,,,,,
21.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
21.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.8700000000000007)]",0.8700000000000007,,,20.0,0.002171,['Pass'],Pass,0.8700000000000007,-0.8700000000000007,0.0,3.0,0.9
21.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
21.0,2.0,wc_2,wc_3,0.0,"[('wc_3', 0.8600000000000007), ('wc_2', 0.8700000000000007)]",0.9818000000000002,,,23.0,0.0037430000000000002,['Pass'],Pass,0.8600000000000007,-0.5266666666666673,1.0,3.0,0.7
21.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
21.0,2.0,wc_2,wc_4,1.0,"[('wc_4', 0.8500000000000006), ('wc_2', 0.8700000000000007), ('wc_3', 0.8600000000000007)]",0.99727,,,38.0,0.045646,['Pass'],Pass,0.8500000000000006,0.14999999999999936,4.0,4.0,0.8
30.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass,,,,,
30.0,4.0,wc_4,,0.0,,,69.0,,,,,Pass,,,,,
30.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass,,,,,
