time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
1.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
2.0,wp_1,1.0,wc_1,"{'Pass': 54, 'Fail': 46}",['Pass'],,,,,,56.0,,,,,,,,
59.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
59.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
60.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.24)]",0.24,['Pass'],,,40.0,0.002687,0.0,0.0,-0.24,0.24,0.1
101.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
102.0,wp_1,1.0,,,,wc_2,0.0,"[('wc_2', 0.87), ('wc_1', 0.24)]",0.9012,['Pass'],,,40.0,0.004243,0.0,0.0,-0.87,0.87,0.8
143.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
144.0,wp_1,1.0,,,,wc_3,1.0,"[('wc_3', 0.83), ('wc_1', 0.24), ('wc_2', 0.87)]",0.983204,['Pass'],,,28.0,0.04911299999999999,1.0,1.0,0.17000000000000004,0.83,0.9
174.0,wp_1,2.0,,,,,,,,,,101.0,,,,,,,
100.0,wp_2,1.0,wc_1,"{'Pass': 51, 'Fail': 49}",['Pass'],,,,,,74.0,,,,,,,,
175.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
175.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
176.0,wp_2,1.0,,,,wc_1,0.0,"[('wc_1', 0.24)]",0.24,['Pass'],,,31.0,0.002585,1.0,1.0,0.76,0.24,0.1
208.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
209.0,wp_2,1.0,,,,wc_2,0.0,"[('wc_2', 0.87), ('wc_1', 0.24)]",0.9012,['Pass'],,,29.0,0.004345,1.0,1.0,0.13,0.87,0.8
239.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
240.0,wp_2,1.0,,,,wc_3,0.0,"[('wc_1', 0.24), ('wc_2', 0.87)]",0.9012,['Pass'],,,24.0,0.012105999999999999,1.0,1.0,0.17000000000000004,0.83,0.9
265.0,wp_2,1.0,,,,,,,,,,0.0,,,,,,,
207.0,wp_3,1.0,wc_1,"{'Pass': 18, 'Fail': 82}",['Fail'],,,,,,66.0,,,,,,,,
274.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
274.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
266.0,wp_2,1.0,,,,wc_4,1.0,"[('wc_4', 0.82), ('wc_1', 0.24), ('wc_2', 0.87)]",0.982216,['Pass'],,,37.0,0.041287,1.0,2.0,-0.31999999999999995,0.82,0.7
305.0,wp_2,3.0,,,,,,,,,,103.0,,,,,,,
275.0,wp_3,1.0,,,,wc_1,0.0,"[('wc_1', 0.24)]",0.24,['Fail'],,,31.0,0.003364,2.0,2.0,0.76,0.24,0.1
307.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
345.0,wp_3,1.0,,,,wc_2,0.0,"[('wc_2', 0.87), ('wc_1', 0.24)]",0.9012,['Fail'],,,30.0,0.003398,2.0,2.0,0.13,0.87,0.8
306.0,wp_1,2.0,wc_2,"{'Pass': 59, 'Fail': 41}",['Pass'],,,,,,70.0,,,,,,,,
376.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
377.0,wp_1,2.0,,,,,,,,,,0.0,,,,,,,
306.0,wp_4,1.0,wc_1,"{'Pass': 91, 'Fail': 9}",['Pass'],,,,,,74.0,,,,,,,,
381.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
381.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
377.0,wp_3,1.0,,,,wc_3,1.0,"[('wc_3', 0.83), ('wc_1', 0.24), ('wc_2', 0.87)]",0.983204,['Fail'],,,24.0,0.049052999999999986,2.0,3.0,-0.16333333333333333,0.83,0.9
382.0,wp_4,1.0,,,,wc_1,0.0,"[('wc_1', 0.24)]",0.24,['Fail'],,,21.0,0.004108,3.0,3.0,0.76,0.24,0.1
404.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
378.0,wp_1,2.0,,,,wc_2,0.0,"[('wc_2', 0.87)]",0.87,['Pass'],,,33.0,0.004455000000000001,3.0,3.0,0.13,0.87,0.8
412.0,wp_1,2.0,,,,,,,,,,0.0,,,,,,,
405.0,wp_4,1.0,,,,wc_3,0.0,"[('wc_3', 0.83)]",0.83,['Pass'],,,20.0,0.019208999999999997,2.0,3.0,-0.16333333333333333,0.83,0.9
426.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
413.0,wp_1,2.0,,,,wc_4,0.0,"[('wc_4', 0.82), ('wc_2', 0.87)]",0.9766,['Pass'],,,33.0,0.008713,1.0,3.0,-0.48666666666666664,0.82,0.7
447.0,wp_1,2.0,,,,,,,,,,61.0,,,,,,,
427.0,wp_4,1.0,,,,wc_5,0.0,"[('wc_5', 0.57), ('wc_3', 0.83)]",0.9269,['Pass'],,,28.0,0.0064080000000000005,0.0,3.0,-0.57,0.57,0.4
456.0,wp_4,1.0,,,,,,,,,,61.0,,,,,,,
426.0,wp_2,3.0,wc_3,"{'Pass': 54, 'Fail': 46}",['Pass'],,,,,,79.0,,,,,,,,
506.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
508.0,wp_1,2.0,,,,wc_1,0.0,"[('wc_2', 0.87), ('wc_4', 0.82)]",0.9766,['Pass'],,,28.0,0.008656,3.0,3.0,0.76,0.24,0.1
481.0,wp_5,1.0,wc_1,"{'Pass': 38, 'Fail': 62}",['Fail'],,,,,,55.0,,,,,,,,
537.0,wp_1,2.0,,,,,,,,,,0.0,,,,,,,
517.0,wp_4,1.0,,,,wc_2,1.0,"[('wc_2', 0.87), ('wc_3', 0.83), ('wc_5', 0.57)]",0.990497,['Pass'],,,20.0,0.043890000000000005,4.0,4.0,0.13,0.87,0.8
537.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
507.0,wp_2,3.0,,,,wc_3,0.0,"[('wc_3', 0.83)]",0.83,['Pass'],,,31.0,0.002263,3.0,4.0,-0.07999999999999996,0.83,0.9
538.0,wp_3,1.0,,,,,,,,,,81.0,,,,,,,
539.0,wp_2,3.0,,,,,,,,,,0.0,,,,,,,
539.0,wp_4,4.0,,,,,,,,,,0.0,,,,,,,
540.0,wp_2,3.0,,,,wc_4,0.0,"[('wc_4', 0.82), ('wc_3', 0.83)]",0.9694,['Pass'],,,24.0,0.012948000000000001,1.0,4.0,-0.57,0.82,0.7
565.0,wp_2,3.0,,,,,,,,,,81.0,,,,,,,
538.0,wp_5,1.0,,,,wc_1,0.0,"[('wc_1', 0.24)]",0.24,['Fail'],,,27.0,0.006397,3.0,4.0,0.51,0.24,0.1
566.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
538.0,wp_1,2.0,,,,wc_5,0.0,"[('wc_2', 0.87), ('wc_4', 0.82)]",0.9766,['Pass'],,,35.0,0.009101999999999999,1.0,4.0,-0.31999999999999995,0.57,0.4
574.0,wp_1,2.0,,,,,,,,,,61.0,,,,,,,
567.0,wp_5,1.0,,,,wc_3,0.0,"[('wc_3', 0.83), ('wc_1', 0.24)]",0.8708,['Fail'],,,31.0,0.004895,3.0,4.0,-0.07999999999999996,0.83,0.9
599.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
616.0,wp_5,1.0,,,,wc_4,0.0,"[('wc_1', 0.24), ('wc_3', 0.83)]",0.8708,['Fail'],,,24.0,0.006199,1.0,4.0,-0.57,0.82,0.7
589.0,wp_4,4.0,wc_4,"{'Pass': 7, 'Fail': 93}",['Fail'],,,,,,52.0,,,,,,,,
641.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
642.0,wp_4,4.0,,,,,,,,,,0.0,,,,,,,
635.0,wp_1,2.0,,,,wc_6,1.0,"[('wc_6', 0.87), ('wc_2', 0.87), ('wc_4', 0.82)]",0.996958,['Pass'],,,25.0,0.041380999999999994,1.0,5.0,-0.6699999999999999,0.87,0.9
662.0,wp_1,4.0,,,,,,,,,,341.0,,,,,,,
643.0,wp_4,4.0,,,,wc_4,0.0,"[('wc_4', 0.82)]",0.82,['Fail'],,,26.0,0.004856,2.0,5.0,-0.41999999999999993,0.82,0.7
670.0,wp_4,4.0,,,,,,,,,,61.0,,,,,,,
646.0,wp_2,3.0,,,,wc_2,1.0,"[('wc_2', 0.87), ('wc_3', 0.83), ('wc_4', 0.82)]",0.996022,['Pass'],,,29.0,0.039179,6.0,6.0,0.13,0.87,0.8
642.0,wp_5,1.0,,,,wc_5,1.0,"[('wc_5', 0.57), ('wc_1', 0.24), ('wc_3', 0.83)]",0.944444,['Fail'],,,34.0,0.041366,2.0,7.0,-0.28428571428571425,0.57,0.4
677.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
678.0,wp_2,2.0,wc_2,"{'Pass': 11, 'Fail': 89}",['Fail'],,,,,,64.0,,,,,,,,
743.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
731.0,wp_4,4.0,,,,wc_1,0.0,"[('wc_1', 0.24), ('wc_4', 0.82)]",0.8632,['Fail'],,,20.0,0.0058460000000000005,4.0,7.0,0.3314285714285714,0.24,0.1
700.0,wp_3,1.0,wc_1,"{'Pass': 0, 'Fail': 100}",['Fail'],,,,,,52.0,,,,,,,,
752.0,wp_4,4.0,,,,,,,,,,0.0,,,,,,,
753.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
753.0,wp_5,1.0,,,,,,,,,,41.0,,,,,,,
744.0,wp_2,2.0,,,,wc_2,0.0,"[('wc_2', 0.87)]",0.87,['Fail'],,,30.0,0.005843,6.0,7.0,-0.0128571428571429,0.87,0.8
775.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
754.0,wp_3,1.0,,,,wc_1,0.0,"[('wc_1', 0.24)]",0.24,['Fail'],,,27.0,0.001982,4.0,7.0,0.3314285714285714,0.24,0.1
782.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
753.0,wp_4,4.0,,,,wc_3,1.0,"[('wc_3', 0.83), ('wc_4', 0.82), ('wc_1', 0.24)]",0.976744,['Fail'],,,40.0,0.039686,6.0,8.0,-0.07999999999999996,0.83,0.9
795.0,wp_4,3.0,,,,,,,,,,0.0,,,,,,,
776.0,wp_2,2.0,,,,wc_4,0.0,"[('wc_4', 0.82), ('wc_2', 0.87)]",0.9766,['Fail'],,,31.0,0.004228,4.0,8.0,-0.31999999999999995,0.82,0.7
783.0,wp_3,1.0,,,,wc_2,0.0,"[('wc_2', 0.87), ('wc_1', 0.24)]",0.9012,['Fail'],,,24.0,0.0037749999999999997,6.0,8.0,-0.12,0.87,0.8
808.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
808.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
809.0,wp_2,2.0,,,,wc_5,1.0,"[('wc_5', 0.57), ('wc_2', 0.87), ('wc_4', 0.82)]",0.989938,['Fail'],,,33.0,0.039570999999999995,3.0,9.0,-0.23666666666666664,0.57,0.4
844.0,wp_2,2.0,,,,,,,,,,61.0,,,,,,,
794.0,wp_5,1.0,wc_1,"{'Pass': 39, 'Fail': 61}",['Fail'],,,,,,55.0,,,,,,,,
850.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
851.0,wp_5,1.0,,,,wc_1,0.0,"[('wc_1', 0.24)]",0.24,['Fail'],,,31.0,0.002297,5.0,9.0,0.3155555555555556,0.24,0.1
883.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
870.0,wp_3,1.0,,,,wc_3,1.0,"[('wc_3', 0.83), ('wc_1', 0.24), ('wc_2', 0.87)]",0.983204,['Fail'],,,29.0,0.053847000000000006,7.0,10.0,-0.13,0.83,0.9
826.0,wp_4,3.0,wc_3,"{'Pass': 59, 'Fail': 41}",['Pass'],,,,,,73.0,,,,,,,,
900.0,wp_4,3.0,,,,,,,,,,0.0,,,,,,,
901.0,wp_3,1.0,,,,,,,,,,81.0,,,,,,,
884.0,wp_5,1.0,,,,wc_2,0.0,"[('wc_2', 0.87)]",0.87,['Pass'],,,40.0,0.005893,8.0,10.0,-0.06999999999999995,0.87,0.8
925.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
901.0,wp_4,3.0,,,,wc_3,0.0,"[('wc_3', 0.83)]",0.83,['Pass'],,,27.0,0.014660000000000001,0.0,0.0,-0.83,0.83,0.9
929.0,wp_4,3.0,,,,,,,,,,0.0,,,,,,,
926.0,wp_5,1.0,,,,wc_4,0.0,"[('wc_4', 0.82), ('wc_2', 0.87)]",0.9766,['Pass'],,,25.0,0.009994,5.0,10.0,-0.31999999999999995,0.82,0.7
952.0,wp_5,1.0,,,,,,,,,,81.0,,,,,,,
930.0,wp_4,3.0,,,,wc_5,0.0,"[('wc_5', 0.57), ('wc_3', 0.83)]",0.9269,['Pass'],,,38.0,0.0041069999999999995,3.0,10.0,-0.26999999999999996,0.57,0.4
969.0,wp_4,3.0,,,,,,,,,,41.0,,,,,,,
925.0,wp_2,2.0,wc_2,"{'Pass': 19, 'Fail': 81}",['Fail'],,,,,,70.0,,,,,,,,
996.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
997.0,wp_2,2.0,,,,wc_2,0.0,"[('wc_2', 0.87)]",0.87,['Fail'],,,38.0,0.004526,0.0,0.0,-0.87,0.87,0.8
1036.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
1003.0,wp_1,4.0,wc_4,"{'Pass': 14, 'Fail': 86}",['Fail'],,,,,,62.0,,,,,,,,
1066.0,wp_1,4.0,,,,,,,,,,0.0,,,,,,,
1033.0,wp_5,1.0,,,,wc_6,1.0,"[('wc_6', 0.87), ('wc_2', 0.87), ('wc_4', 0.82)]",0.996958,['Pass'],,,33.0,0.040856,2.0,11.0,-0.6881818181818182,0.87,0.9
1037.0,wp_2,2.0,,,,wc_3,0.0,"[('wc_3', 0.83), ('wc_2', 0.87)]",0.9779,['Fail'],,,32.0,0.008922,0.0,1.0,-0.83,0.83,0.9
1070.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
1047.0,wp_4,3.0,,,,wc_1,1.0,"[('wc_1', 0.24), ('wc_3', 0.83), ('wc_5', 0.57)]",0.944444,['Pass'],,,23.0,0.043669,7.0,12.0,0.3433333333333334,0.24,0.1
1006.0,wp_3,1.0,wc_1,"{'Pass': 54, 'Fail': 46}",['Pass'],,,,,,65.0,,,,,,,,
1072.0,wp_3,1.0,,,,,,,,,,0.0,,,,,,,
1072.0,wp_4,4.0,,,,,,,,,,0.0,,,,,,,
1072.0,wp_5,1.0,,,,,,,,,,202.0,,,,,,,
1067.0,wp_1,4.0,,,,wc_4,0.0,"[('wc_4', 0.82)]",0.82,['Fail'],,,27.0,0.005912000000000001,1.0,2.0,-0.31999999999999995,0.82,0.7
1095.0,wp_1,4.0,,,,,,,,,,81.0,,,,,,,
