production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
2.0,1.0,wc_1,,0.0,,,53.0,,,,,Pass,,,,,
2.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
2.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.7800000000000006)]",0.7800000000000006,,,29.0,0.002197,['Pass'],Pass,0.7800000000000006,-0.5800000000000005,0.0,0.0,0.7
2.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
2.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.7600000000000006), ('wc_1', 0.7800000000000006)]",0.9472000000000003,,,29.0,0.004534,['Pass'],Pass,0.7600000000000006,-0.5600000000000005,0.0,0.0,0.8
2.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
2.0,1.0,wc_1,wc_3,1.0,"[('wc_3', 0.4100000000000003), ('wc_1', 0.7800000000000006), ('wc_2', 0.7600000000000006)]",0.9688480000000002,,,26.0,0.037254,['Pass'],Pass,0.4100000000000003,-0.25615384615384645,0.0,0.0,0.4
4.0,2.0,wc_2,,0.0,,,,101.0,,,,Pass,,,,,
4.0,2.0,wc_2,,0.0,,,66.0,,,,,Pass,,,,,
4.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
4.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.7600000000000006)]",0.7600000000000006,,,32.0,0.004072,['Pass'],Pass,0.7600000000000006,0.23999999999999944,1.0,1.0,0.8
4.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
4.0,2.0,wc_2,wc_3,0.0,"[('wc_2', 0.7600000000000006)]",0.7600000000000006,,,27.0,0.0042769999999999996,['Pass'],Pass,0.4100000000000003,-0.4100000000000003,0.0,0.0,0.4
4.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
4.0,2.0,wc_2,wc_4,0.0,"[('wc_2', 0.7600000000000006)]",0.7600000000000006,,,27.0,0.008074000000000001,['Pass'],Pass,0.2400000000000001,-0.16307692307692317,0.0,0.0,0.1
4.0,2.0,wc_2,,0.0,,,,0.0,,,,Pass,,,,,
