time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
483.0,wp_3,1.0,,,,wc_7,1.0,"[('wc_7', 0.85), ('wc_2', 0.7), ('wc_4', 0.48), ('wc_6', 0.3)]",0.9836199999999999,['Pass'],,,30.0,0.046471,1.0,5.0,-0.6499999999999999,0.85,0.9
473.0,wp_5,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Pass'],,,40.0,0.00216,3.0,5.0,0.06999999999999995,0.53,0.4
514.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
515.0,wp_3,3.0,,,,,,,,,,301.0,,,,,,,
515.0,wp_5,1.0,,,,wc_2,0.0,"[('wc_2', 0.7), ('wc_1', 0.53)]",0.859,['Pass'],,,24.0,0.004902999999999999,4.0,5.0,0.10000000000000009,0.7,0.8
540.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
483.0,wp_2,4.0,wc_4,"{'Pass': 38, 'Fail': 62}",['Fail'],,,,,,67.0,,,,,,,,
551.0,wp_2,4.0,,,,,,,,,,0.0,,,,,,,
541.0,wp_5,1.0,,,,wc_3,0.0,"[('wc_1', 0.53), ('wc_2', 0.7)]",0.859,['Pass'],,,33.0,0.01143,2.0,5.0,0.010000000000000009,0.39,0.3
575.0,wp_5,1.0,,,,,,,,,,0.0,,,,,,,
552.0,wp_2,4.0,,,,wc_4,0.0,"[('wc_4', 0.48)]",0.48,['Pass'],,,39.0,0.004028,3.0,5.0,0.12,0.48,0.4
592.0,wp_2,4.0,,,,,,,,,,61.0,,,,,,,
576.0,wp_5,1.0,,,,wc_5,1.0,"[('wc_5', 0.77), ('wc_1', 0.53), ('wc_2', 0.7)]",0.96757,['Pass'],,,33.0,0.040968000000000004,3.0,6.0,-0.27,0.77,0.8
611.0,wp_5,2.0,,,,,,,,,,61.0,,,,,,,
653.0,wp_2,4.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Fail'],,,40.0,0.004375,4.0,6.0,0.1366666666666666,0.53,0.4
633.0,wp_1,1.0,wc_1,"{'Pass': 35, 'Fail': 65}",['Fail'],,,,,,61.0,,,,,,,,
694.0,wp_2,4.0,,,,,,,,,,0.0,,,,,,,
695.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
695.0,wp_4,1.0,,,,,,,,,,41.0,,,,,,,
696.0,wp_1,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Pass'],,,24.0,0.005651,4.0,6.0,0.1366666666666666,0.53,0.4
721.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
722.0,wp_1,1.0,,,,wc_3,0.0,"[('wc_1', 0.53)]",0.53,['Pass'],,,38.0,0.0046040000000000005,2.0,6.0,-0.0566666666666667,0.39,0.3
761.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
