production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
7.0,1.0,wc_1,,0.0,,,60.0,,,,,Pass,,,,,
7.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
7.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.9500000000000008)]",0.9500000000000008,,,28.0,0.002204,['Pass'],Pass,0.9500000000000008,-0.8250000000000008,0.0,0.0,0.8
7.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
7.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.7600000000000006), ('wc_1', 0.9500000000000008)]",0.9880000000000002,,,37.0,0.004106,['Pass'],Pass,0.7600000000000006,-0.5412500000000006,0.0,0.0,0.7
7.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
7.0,1.0,wc_1,wc_3,1.0,"[('wc_3', 0.9300000000000008), ('wc_1', 0.9500000000000008), ('wc_2', 0.7600000000000006)]",0.99916,,,21.0,0.03826499999999999,['Pass'],Pass,0.9300000000000008,-0.6175000000000008,0.0,0.0,0.9
9.0,2.0,wc_2,,0.0,,,,101.0,,,,Fail,,,,,
9.0,2.0,wc_2,,0.0,,,66.0,,,,,Fail,,,,,
9.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
9.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.7600000000000006)]",0.7600000000000006,,,39.0,0.002958,['Pass'],Fail,0.7600000000000006,0.23999999999999944,1.0,1.0,0.7
9.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
9.0,2.0,wc_2,wc_3,0.0,"[('wc_3', 0.9300000000000008)]",0.9300000000000008,,,24.0,0.003999,['Fail'],Fail,0.9300000000000008,-0.9300000000000008,0.0,0.0,0.9
9.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
9.0,2.0,wc_2,wc_4,0.0,"[('wc_4', 0.9900000000000008), ('wc_3', 0.9300000000000008)]",0.9993000000000001,,,23.0,0.006422000000000001,['Fail'],Fail,0.9900000000000008,-0.7641935483870975,0.0,0.0,0.9
9.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
9.0,2.0,wc_2,wc_5,1.0,"[('wc_5', 0.5800000000000004), ('wc_3', 0.9300000000000008), ('wc_4', 0.9900000000000008)]",0.999706,,,23.0,0.038087,['Fail'],Fail,0.5800000000000004,-0.4862500000000004,0.0,0.0,0.8
12.0,3.0,wc_3,,0.0,,,,83.0,,,,Fail,,,,,
12.0,3.0,wc_3,,0.0,,,56.0,,,,,Fail,,,,,
12.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
12.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.9300000000000008)]",0.9300000000000008,,,30.0,0.002323,['Fail'],Fail,0.9300000000000008,0.06999999999999917,1.0,1.0,0.9
12.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
12.0,3.0,wc_3,wc_4,0.0,"[('wc_4', 0.9900000000000008), ('wc_3', 0.9300000000000008)]",0.9993000000000001,,,36.0,0.004455000000000001,['Fail'],Fail,0.9900000000000008,0.009999999999999232,1.0,1.0,0.9
12.0,3.0,wc_3,,0.0,,,,0.0,,,,Fail,,,,,
