production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
85.0,1.0,wc_1,,0.0,,,71.0,,,,,Pass,,,,,
85.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
85.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.9000000000000007)]",0.9000000000000007,,,20.0,0.004119,['Pass'],Pass,0.9000000000000007,-0.7000000000000006,0.0,0.0,1.0
85.0,1.0,wc_1,,0.0,,,,202.0,,,,Pass,,,,,
85.0,1.0,wc_1,wc_13,0.0,"[('wc_13', 0.4700000000000003), ('wc_1', 0.9000000000000007)]",0.9470000000000004,,,39.0,0.004850999999999999,['Pass'],Pass,0.4700000000000003,-0.4700000000000003,0.0,7.0,0.3
85.0,1.0,wc_1,,0.0,,,,361.0,,,,Pass,,,,,
85.0,1.0,wc_1,wc_4,1.0,"[('wc_4', 0.3600000000000002), ('wc_1', 0.9000000000000007), ('wc_13', 0.4700000000000003)]",0.9660800000000003,,,39.0,0.038836,['Pass'],Pass,0.3700000000000002,0.2966666666666664,2.0,3.0,0.2
92.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass,,,,,
92.0,4.0,wc_4,,0.0,,,63.0,,,,,Pass,,,,,
92.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass,,,,,
92.0,4.0,wc_4,wc_4,0.0,"[('wc_4', 0.3700000000000002)]",0.3700000000000002,,,28.0,0.00231,['Fail'],Pass,0.3700000000000002,0.2966666666666664,2.0,3.0,0.2
92.0,4.0,wc_4,,0.0,,,,141.0,,,,Pass,,,,,
92.0,4.0,wc_4,wc_13,0.0,"[('wc_13', 0.4700000000000003), ('wc_4', 0.3700000000000002)]",0.6661000000000004,,,20.0,0.004783,['Fail'],Pass,0.4700000000000003,-0.3450000000000003,1.0,8.0,0.3
92.0,4.0,wc_4,,0.0,,,,202.0,,,,Pass,,,,,
92.0,4.0,wc_4,wc_8,0.0,"[('wc_4', 0.3700000000000002), ('wc_13', 0.4700000000000003)]",0.6661000000000004,,,24.0,0.006261,['Fail'],Pass,0.5200000000000004,-0.18666666666666704,1.0,3.0,0.6
92.0,4.0,wc_4,,0.0,,,,183.0,,,,Pass,,,,,
92.0,4.0,wc_4,wc_15,0.0,"[('wc_15', 0.8200000000000006), ('wc_8', 0.5200000000000004)]",0.9136000000000004,,,24.0,0.009172,['Pass'],Pass,0.8200000000000006,-0.24857142857142922,4.0,7.0,1.0
92.0,4.0,wc_4,,0.0,,,,283.0,,,,Pass,,,,,
92.0,4.0,wc_4,wc_1,1.0,"[('wc_1', 0.9100000000000007), ('wc_8', 0.5200000000000004), ('wc_15', 0.8200000000000006)]",0.9922240000000001,,,33.0,0.044193,['Pass'],Pass,0.9200000000000007,0.0799999999999993,2.0,2.0,1.0
107.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
107.0,3.0,wc_3,,0.0,,,63.0,,,,,Pass,,,,,
107.0,3.0,wc_3,,0.0,,,,0.0,,,,Pass,,,,,
107.0,3.0,wc_3,wc_3,0.0,"[('wc_3', 0.5500000000000004)]",0.5500000000000004,,,34.0,0.002002,['Pass'],Pass,0.5500000000000004,-0.35000000000000037,0.0,0.0,0.5
107.0,3.0,wc_3,,0.0,,,,162.0,,,,Pass,,,,,
