production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
10.0,1.0,wc_1,,0.0,,,62.0,,,,,Pass,,,,,
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.6000000000000004)]",0.6000000000000004,,,20.0,0.002218,['Fail'],Pass,0.6000000000000004,-0.2000000000000004,2.0,5.0,1.0
10.0,1.0,wc_1,,0.0,,,,223.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_10,0.0,"[('wc_1', 0.6000000000000004)]",0.6000000000000004,,,37.0,0.0040680000000000004,['Fail'],Pass,0.5100000000000003,-0.5100000000000003,0.0,2.0,0.9
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_11,0.0,"[('wc_11', 0.3600000000000002), ('wc_1', 0.6000000000000004)]",0.7440000000000003,,,36.0,0.006144,['Fail'],Pass,0.3600000000000002,-0.137777777777778,2.0,9.0,0.3
10.0,1.0,wc_1,,0.0,,,,223.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_2,0.0,"[('wc_1', 0.6000000000000004), ('wc_11', 0.3600000000000002)]",0.7440000000000003,,,37.0,0.00775,['Fail'],Pass,0.42000000000000026,0.008571428571428286,3.0,7.0,0.5
10.0,1.0,wc_1,,0.0,,,,183.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_9,0.0,"[('wc_9', 0.4700000000000003), ('wc_10', 0.5100000000000003), ('wc_2', 0.42000000000000026)]",0.8493740000000003,,,32.0,0.010936000000000001,['Pass'],Pass,0.4700000000000003,-0.2200000000000003,1.0,4.0,0.6
10.0,1.0,wc_1,,0.0,,,,162.0,,,,Pass,,,,,
10.0,1.0,wc_1,wc_15,0.0,"[('wc_10', 0.5100000000000003), ('wc_2', 0.42000000000000026), ('wc_9', 0.4700000000000003)]",0.8493740000000003,,,29.0,0.011449,['Pass'],Pass,0.2300000000000001,0.055714285714285605,2.0,7.0,0.2
10.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
