production_index,step_idx,production_workcell,qc,consent,winner_qc_list,score,production_time,transport_time,inspection_time,network_time,qc_results,actual_quality,qc_score,score_error,in_winner_counter,in_qc_counter,qc_capability
6.0,1.0,wc_1,,0.0,,,77.0,,,,,Pass,,,,,
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_1,0.0,"[('wc_1', 0.8400000000000006)]",0.8400000000000006,,,22.0,0.005134,['Pass'],Pass,0.8400000000000006,-0.6685714285714293,0.0,0.0,1.0
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_2,0.0,"[('wc_2', 0.6600000000000005), ('wc_1', 0.8400000000000006)]",0.9456000000000003,,,25.0,0.0066370000000000005,['Pass'],Pass,0.6600000000000005,-0.5171428571428576,0.0,0.0,0.5
6.0,1.0,wc_1,,0.0,,,,0.0,,,,Pass,,,,,
6.0,1.0,wc_1,wc_3,1.0,"[('wc_3', 0.8400000000000006), ('wc_1', 0.8400000000000006), ('wc_2', 0.6600000000000005)]",0.9912960000000001,,,23.0,0.04716499999999999,['Pass'],Pass,0.8400000000000006,-0.6971428571428577,0.0,0.0,1.0
8.0,2.0,wc_2,,0.0,,,,101.0,,,,Fail,,,,,
8.0,2.0,wc_2,,0.0,,,53.0,,,,,Fail,,,,,
8.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
8.0,2.0,wc_2,wc_2,0.0,"[('wc_2', 0.6600000000000005)]",0.6600000000000005,,,35.0,0.002179,['Fail'],Fail,0.6600000000000005,0.3399999999999995,1.0,1.0,0.5
8.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
8.0,2.0,wc_2,wc_3,0.0,"[('wc_3', 0.8400000000000006), ('wc_2', 0.6600000000000005)]",0.9456000000000003,,,27.0,0.004809,['Fail'],Fail,0.8400000000000006,-0.8400000000000006,0.0,0.0,1.0
8.0,2.0,wc_2,,0.0,,,,0.0,,,,Fail,,,,,
8.0,2.0,wc_2,wc_4,1.0,"[('wc_4', 0.5300000000000004), ('wc_2', 0.6600000000000005), ('wc_3', 0.8400000000000006)]",0.9744320000000002,,,22.0,0.04077400000000001,['Fail'],Fail,0.5300000000000004,-0.39111111111111146,0.0,0.0,0.5
12.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass,,,,,
12.0,4.0,wc_4,,0.0,,,70.0,,,,,Pass,,,,,
12.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass,,,,,
12.0,4.0,wc_4,wc_4,0.0,"[('wc_4', 0.5300000000000004)]",0.5300000000000004,,,24.0,0.002252,['Fail'],Pass,0.5300000000000004,-0.5300000000000004,0.0,0.0,0.5
12.0,4.0,wc_4,,0.0,,,,0.0,,,,Pass,,,,,
12.0,4.0,wc_4,wc_5,0.0,"[('wc_4', 0.5300000000000004)]",0.5300000000000004,,,37.0,0.0073609999999999995,['Fail'],Pass,0.2300000000000001,-0.11888888888888899,0.0,0.0,0.2
12.0,4.0,wc_4,,0.0,,,,41.0,,,,Pass,,,,,
12.0,4.0,wc_4,wc_1,0.0,"[('wc_1', 0.8400000000000006), ('wc_5', 0.2300000000000001)]",0.8768000000000005,,,22.0,0.00789,['Pass'],Pass,0.8400000000000006,-0.34000000000000064,1.0,2.0,1.0
